store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
8139926242460185114,0,0,0,0,0,0
5415949628544298339,60,9,45,0,0,0
3408529570017053440,0,0,0,0,0,0
9055649751952768824,0,0,0,0,0,0
4428372089193592098,0,0,0,0,0,0
2689959411535120475,60,10,44,0,0,6
8297996490922435741,0,0,0,60,6,27
1050565545391667097,0,0,0,0,0,0
3483930781272060942,0,0,0,60,6,30
1740222068509982431,0,0,0,60,7,26
2859012985063828777,0,0,0,0,0,0
3828361964081888905,0,0,0,0,5,21
5789640881970906690,0,0,8,60,2,11
5723059602183693938,0,0,0,0,0,0
4378293333107164443,0,0,0,60,16,62
8778651700128892847,0,1,3,60,4,17
6666934422919388376,0,0,0,0,0,0
6163165919739157695,0,0,0,0,0,0
2190599106298424769,60,5,28,0,0,0
2225219938220197351,60,12,60,0,0,0
